c1c(cccc1)O/C(=C/C=C/OC)/C	N#CSCCOc1ccc(Oc2ccccc2)cc1	COc1cc(ccc1O)c1ccc(O)c(O)c1
C(Cl)/C=C\C=C\Cn1c2ccccc2nc1	Nc1nc2ccccc2n1Cc1ccc(Cl)c(Cl)c1	OC(=O)Cc1cccccccccccccccccccccccc
CCN(CC)S(=O)(=O)C/C=C(\C=C)/CNc1c(C#N)c2c(s1)CCC2	CCN(CC)S(=O)(=O)c1ccc(Cl)c(c1)C(=O)Nc1sc2CCCc2c1C#N	CC1=CC(C)N(C(=O)(CSc2ccc(cc2)C(=O)N[C@@H]1CCCCN)S(=O)(=O)C
c1(ccccc1)C#C/C=C/C=C/CS/C=N/N=C(\N)/C(F)F	FC(F)(F)c1nnc(SC(=O)c2ccc(o2)C#Cc2ccccc2)[nH]1	CC(NC(=O)c1cc(C)cc(c1)c1ccc(cn1)C(F)(F)F)c1ccc(F)cc1
c1(ccccc1)CCC(=O)NC(P(=O)(O)CC(CCCC)C(=O)O)CC	CC(C)[C@H](NC(=O)CCc1ccccc1)P(=O)(O)C[C@@H](CCCCCN)C(=O)O	OC(=O)CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC)CC)c()c)cC)c)
C(=C\C(=C/C=C)\Cc1c(cc(c(cccn1c1ccccc1)O)C)CN(CC)C)/F	Cc1c(F)cccc1Cc1c(C(=O)N2CCNCC2)c2c(C)c(O)ccc2n1c1ccccc1	CN(C)C/C=C/C(=O)/C=C/c1ccc2c(cnc(Nc3ccc(cc3)C(F)(F)F)c2)cc1
C(Cc1cc(C(=O)N[C@H](CO)CC)sc1)CC(=C)Nc1nc[nH]c(=O)c1	Nc1nc2[nH]c(CCCc3csc(c3)C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	OC(=O)C[C@H](CNC(=O)c1cc(N)cc(N2CCC[C@H](CCC(=O)O)C(=O)O)c2)cc1
N1(CCN(C)CC1)C(=N)/C(=C/CF)/CNc1ccc(cc1)F	CN1CCN(CC1)C1=Nc2cc(F)ccc2Nc2ccc(F)cc12	Fc1ccc(cc1c1cccccCNNC12CC3CC(CC(C3)C1)C2
C/N=C\C(=C\N)\CCN(c1ccc(cc1)C(=O)NC(C=O)CCC(=O)O)C	CN(Cc1coc2nc(N)nc(N)c12)c1ccc(cc1)C(=O)NC(CCC(=O)O)C(=O)O	OC(=O)CC[C@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1ccc(cc1)C(=O)O
C(=O)/C=C/C(=O)NC(=C)/C=C\C	NC(=O)c1cccc(NC(=O)/C=C/C(=O)O)c1	OC(=O)c1ccccccccccccccccccccc
c1(Cl)cncc(c1NC(=O)C(=C)/C=C/OC(CCC)C)Cl	COc1ccc(cc1OC1CCCC1)C(=O)Nc1c(Cl)cncc1Cl	CC(C)c1cc(Cc(C)cccccccccccccccccccccccccc))
C(N)CN(CC)C(=O)c1cccc(c1)CCc1ccccc1C(=O)NN	Fc1ccc(Cc2n[nH]c(=O)c3ccccc23)cc1C(=O)N1CCCNCC1	NC(=N)c1ccc(CNC(=O)C(C(=O)NCCC(ccccccccccccccccccccccccccccc
C(NC(C)CCC)/N=C(\NC(=O)Cc1s/c(=C/C=C)/c(=C)n1)/NC	O=c1[nH]c(nc(NC2CCCNC2)c1c1nc2ccccc2s1)N1CCOCC1	CN1CCN(CC1)c1ccc(Ccccccccccccccccccccccccccccc
c1cc(ccc1)C(NC(=S)N)CC(=O)CC	Oc1cccc(c1)[C@@H]1NC(=S)N=C2CCCC(=O)C12	NC(=O)C1CCN(CC1)c1ccccccccccccccccc
c1c(cccc1)CN/C(=C/C=C(C)C)/N	NC(=O)c1ccc(NCc2ccccc2)nc1	CC(=O)c1cccccccccccccccccccccccc
Fc1c(F)cc(c(c1)CCCCN1CCn2c(C1)nnc2C)F	NC(CC(=O)N1CCn2c(C1)nnc2C(F)(F)F)Cc1cc(F)c(F)cc1F	Fc1ccc(cn1)C(=O)NCCC(CC1CCC)C(C)c1ccncc1C#N
c1ccc(c(SC)c1)NCc1ncnc(c1/N=C/N1CCNCC1)NC	CSc1ccccc1Nc1nc(nc2c(NCC3CC3)ncnc12)N1CCNCC1	CN1CCN(CC1)c1cccccccccccccccccccccccccccccccccCCC1c111
c1(ccc(S(=O)(=N)C(F)F)cc1)N[C@H](CN(S(=O)c1ccc(nc1)N)CC)C#CC	CC#C[C@H]1CN(CCN1c1ccc(cc1)S(=N)(=O)C(F)(F)F)S(=O)(=O)c1ccc(N)nc1	CCCCS(=O)(=O)c1cc(F)c(c(NC(NS(=O)(=O)c2ccc3cccc3c2)C(F)(F)F)cc1
[C@@H](NC(=N)NC(=O)Cc1cc(OC)c(OC)cc1)(CC(=C)/C=C\C)C(=O)NCC/C=C\COC	COc1ccc(CNC(=O)[C@@H](Cc2ccccc2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)cc1OC	COC(=O)c1cccc(c1)c1ccc(CcCcC()C(C(C(CcC(ccccCcccccccccccccccccccccccO)
OC(=O)[C@H](C)NC(=O)CCCCCCCNc1cc(=O)[nH]c(n1)N	Nc1nc2[nH]c(CCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1	Nc1nc2[nH]c(CCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)O)cc2c(=O)[nH]1
C(=C\c1c(C)nccc1/C=C(\N)/n1ccnc1)(\COCC)/OC	COCCOc1cc2ncc3c(N)nc(cc3c2cc1OC)n1ccnc1	COc1cc(ccccccccccccccccccccccccccccccccccccc
C(=C\C=C/1\N/C(=C/Cc2ccc(C)c(OC)c2)/CC(=O)NC1)\C	COc1cc(ccc1C(=O)O)c1ccc2c(Nc3ccccc3NC2=O)c1	COc1cccccccccccccccccccccccccccccccccccccccccccccc
Cn1cncc1/C=C/C=C\CN/C(=C/C)/C(=C\CCC(=O)O)/NC	COC(=O)Cc1ccc2Nc3cc(ccc3C(=O)Nc2c1)c1cncn1C	CC(C)(C)c1cccccccccccccccccccccccccccccccccccccc
ClC(=C)CC(=O)NC(C)C(=N)N(C)CSCCOc1ccc(cc1)F	CC(NC(=O)c1ccccc1Cl)c1nnc(SCCOc2ccc(F)cc2)n1C	CC(NC(=O)c1ccccc1C(F)(F)F)cc1c1(C)N2CCCC(CC(C2)C1)C(F)(F)F)CC1
N(c1cc(cc(Cl)c1)Cl)CNC(=C)CC(=O)O	OC(=O)c1ccccc1NC(=O)Nc1cc(Cl)cc(Cl)c1	OC(=O)C1CCN(Cc2ccc3CCc3c(OC)ccc3[nH]c2=O)C1
O=C[C@@H](N)CN1C(=O)NCC=C1	N[C@@H](Cn1cc(Cl)c(=O)[nH]c1=O)C(=O)O	N[C@@H](Cn1cc(=O)[nH]c1=O)C(=O)O
C=NC(=C)[C@@H](C)NC(=O)CC/C=N/c1ccccc1C	C[C@@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1ccccn1	C[C@@H](NC(=O)CCc1nc2ccccc2c(=O)[nH]1)c1ccccc1
C(=C(\C=C)/c1ccccc1)\C=C\C=C(/C)\C(=C\1/C(=N)C=CC(=C1)F)\C	Cc1c(nc2ccc(F)cc2c1C(=O)O)c1ccc(cc1)c1ccccc1	NC(=O)c1ccccccccccccccccccccccccccccccccccccccccccccc
C([C@@H](N(C=O)O)CCC/C(=N/C=C)/N=C)SNCCN(C)c1ncc(cc1)Br	ON(C=O)[C@@H](CCCc1ncccn1)CS(=O)(=O)N1CCN(CC1)c1ccc(Br)cn1	Nc1nc2[nH]c(CCCCCCCCCCCCCCCCCCC@C(HCCCCCC)(c)cc)c)c)c)c)c)c)c)c)c)c)c)
O=CN(C(=O)c1n(C)cnc1)CCn1c(=O)cc(n(c1=O)C)N=C	Cn1cnc2n(C)c(=O)n(CCn3c(=O)n(C)c4ncn(C)c4c3=O)c(=O)c12	CC(C)n1nc(N)c(NC(=O)c2cc(cccccccccccccccc)c))c))c)
C(/C=C\C=C)COC(=O)Nc1ccccc1CC	OC(=O)[C@H]1Cc2ccccc2N1C(=O)OCc1ccccc1	CC(=O)c1ccccccccccccccccccccccccccc
O=S(=O)(Cc1ccccc1)NC(=O)CCCN(CC)/C(=C(/C=C/C(=O)OCC)\C)/N	CCOC(=O)c1cc(C#N)c(nc1C)N1CCC(CC1)C(=O)NS(=O)(=O)Cc1ccccc1	CCCCOc1ccc(ccccccccCccCcCcCcCcCcCcCcCcCcCc)c()cc)c)c)c)c)c)cO)c)
C(=C\C)\C=C\N=C(/CO)\CNCC(=O)O	OC(=O)CNC(=O)c1ncc2c(I)cccc2c1O	OC(=O)Cc1cccccccccccccccccccccO)
c1cnn(/C=C/C=C(\C=C)/C)c1NC(=O)Nc1ccc(C/C=N\C=C/C)cc1	Cc1ccc(cc1)n1nc(cc1NC(=O)Nc1ccc(cc1)c1cccnc1)C(C)(C)C	Cc1cccccccccccccccccccccccccccccccccccccccccccccccccccc
c1c(cccc1N(C(=O)N(CC(=O)O)C/C=C/C=C)/C(=C/C=O)/C)C(F)(F)F	CC(=O)C1=C(C)N(C(=O)N(CC(=O)O)[C@@H]1c1ccc(cc1)C#N)c1cccc(c1)C(F)(F)F	OC(=O)C1=C(C)(C(=O)N(C(=O)c1ccc(c1ccccccccccccccccccccccccccF)c)
C(=C\O)(\C=O)/COC(=C)C(=C)/C=C\C(=C)O	Oc1ccc(cc1)c1oc2cc(O)cc(O)c2c(=O)c1O	Oc1ccc(cc1cccccccccccccc)OOOc)OO
c1cscc1C1(c2ccc(cc2)N(CC)C)CC(=C(SC(=C)C(=C)Cl)C(=O)N1)O	OC1=C(Sc2ccccc2Cl)C(=O)N[C@@](C1)(c1ccsc1)c1ccc(cc1)N1CCOCC1	CC(C)c1ccc(c(ccccccccccccccccccccccccccccccccccccccccccccccccc))
C[C@H]([C@@H](O)C/C=C\c1cc(cc(O)c1CO[C@@H](C)CC)OC)O	COc1cc(O)c2c(c1)/C=C\C[C@H](O)[C@H](O)C(=O)/C=C\C[C@H](C)OC2=O	COc1cc2C[C@H](CC@H](O)C(=O)O)C(=O)c3[C@@H](O)[C@@H]2O)c(=O)c1O
C(=C\CN/C(=N/C(=C\COCC)/N=C\N)/N)\C=C/C	C(Oc1nc(Nc2ccccc2)nc2nc[nH]c12)C1CCCCC1	COc1cc(Nc2nccc(nn2)c2cc(C)cc(OC)c2)cc1
c1(c(F)c2C(C(=O)N(c2cc1)CC1CC1)C)N1C=C(CC(=N1)/C(=C/C)/N(c1ccccc1)N)O	COc1cn(nc(c2ccnn2c2ccccc2)c1=O)c1ccc2N(CC3CC3)C(=O)C(C)(C)c2c1F	CN1CC(=O)N(C(=O)CN(C2CCN(CC2)C(=O)c2cccc(C)c2)c2ccc(Cl)cc2)cc1
c1c(cccc1)C[C@H](N)COc1cncc(c1)/C=C/C/C(=C\N=C/1\C=C(C(=CC1)OC)OC)/C	COc1cc2ncc3c(N)nc(cc3c2cc1OC)c1cncc(OC[C@@H](N)Cc2ccccc2)c1	COc1cc2ncc3c(N)nc(cc3c2cc1OC)c1ccccccccccccccccccccccccccccccccc
C1N(c2c(C(C1)(C)C)ccc(c2)C#CC/C=C\CC(=O)O)CC	CC(C)N1CCC(C)(C)c2ccc(cc12)C#Cc1ccc(cc1)C(=O)O	CC(C)CC(CCcCcCccccccccccccccccccccccccccccccCccc
N/C(=N/C=N/C=C/CNC/C=C\C(=C)C(=O)N[C@H](C)CCC(=O)O)/N=C(/N)\C=N	CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O	C[C@@H](CN(C)C)c1nc(Nc2cc(ccn2)N2CCC[C@@H](CC)C2)c(=O)n(C)c1=O
c1(ccc(N(C=O)/C(=C/C)/O)cccccc1)C#N	O[C@@H]1CCn2c1c(O)n(c1ccc(C#N)c3ccccc13)c2=O	OC(=O)C(=O)c1ccccccccccccccccccccccccccccc
N#CC/C=C\CCOc1cc2c(cc1)cc(cc2)S(=O)N[C@@H](C(=O)O)CCC(=O)O	OC(=O)CC[C@@H](NS(=O)(=O)c1ccc2cc(OCc3ccc(cc3)C#N)ccc2c1)C(=O)O	OC(=O)C[C@@H](NC(=O)c1cc(Oc2ccccc2)ccOcC))ccccccccccccccccccc))c)
OC1[C@H](O)[C@H]([C@@H](O[C@@H]1C)NCCN/C(=C/C)/N)O	OC[C@H]1O[C@@H](NC(=O)C(=O)Nc2ccccn2)[C@H](O)[C@@H](O)[C@@H]1O	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O
C(O)/C=C\CN/C(=C/C(=C/1\CCNC1)/c1ccccc1)/C	Oc1ccc2[nH]c3cc(c4C(=O)NC(=O)c4c3c2c1)c1ccccc1	NC(=O)c1cccccccccccccccccccccccccccccccccccccc
OCC[C@@H]([C@@H](CO)OCNC(=O)C(=O)NCC)O	OC[C@H]1O[C@@H](NC(=O)C(=O)NC2CC2)[C@H](O)[C@@H](O)[C@@H]1O	CC(C)C[C@H](NC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
N/C=N\C(=C\N=C)\NCCC(O)C(CO)O	Nc1ncnc2n(cnc12)C1CC(O)C(O)C1O	OC(=O)Cn1c2nn(C)c(=O)n(C)c2c(=O)n1C
C/C=C\C=C\CCC(C(=O)O)N[C@@H](C)C(=O)N(C(C)C)C	C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O	CC(C)C[C@H](NC(=O)C(=O)NC(=O)c1ccc(CC(C)cCcC)CcCcCcc)Cc)Cc
C=N/C=C(\N)/NC/C=C\C(=C)S=O	NS(=O)(=O)c1ccc(Nc2cncc(Cl)n2)cc1	NS(=O)(=O)c1cccc(NCc2cccccccc
C(=C)/C=C\C=C\S(=O)/C=C/C=C/CNCC(=C)N/C(=C/C=N)/C	O=C(NCc1ccc(cc1)S(=O)(=O)c1ccccc1)c1cc2cnccc2[nH]1	NC(=O)c1cccc(Nc2nccccccccccccccccccccccccccccccccc
C/C=C/1\O[C@H](C)C\C1=C\CF	C[C@@H]1Cc2cc(F)cc(C(=O)N)c2O1	OC(=O)c1cc(ccccccccccc(c)c)1O)c
OC[C@H](O)CO[C@@H](N1C(=O)NCC=C1)C	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O	OC[C@H]1O[C@@H](NC(=O)C(=O)NC(=O)c2ccccn2)[C@H](O)[C@@H](O)[C@@H]1O
C(#CC(C)c1cc(OC)cc(/C=C/C=C(C)C)c1)C(=C)/C=N\C=N	COc1cc(cc(c1)c1ccc(C)cc1)C(C)C#Cc1c(C)nc(N)nc1N	CCc1nc(N)nc(N)c1C#CCc1cc(OC)cc(c1)c1ccccc1c
C(c1ccccc1)[C@H](N)[C@@H](C(=O)N[C@H](C(=O)O)C)O	CC(C)C[C@H](NC(=O)[C@@H](O)[C@@H](N)Cc1ccccc1)C(=O)O	OC(=O)[C@H](CC(=O)O)[C@@H](NC(=O)c1ccc(I)cc1)C(=O)O
CCC(CC)Oc1ccc(cc1)c1ccccc1NC/C=C/C=C(/C)\C/C=C(\C)/C(=N)N	CC(=N)N1CCC(CC1)Oc1ccc2c(c1)n(Cc1ccc3ccc(cc3c1)C(=N)N)c1ccccc21	NC(=O)c1ccc(cc1)c1ccc(cccccccccccccccccccccccccccccccccccccccccc
C(F)(F)c1nn(C(=C)/C=C\C=C)c(c1)C(=O)Nc1c(cc(cc1)c1ccccc1S(=O)(=O)C)F	CS(=O)(=O)c1ccccc1c1ccc(NC(=O)c2cc(nn2c2cccc(CN)c2)C(F)(F)F)c(F)c1	CC(NC(=O)c1ccccc1C(F)(F)F)c1nnc(SCCOc2ccc(F)cc2)n1C
C\1=C(/C(=O)O)\C=C\C(=NNc2ccc(cc2)SN)C(=O)N/C=C1	NS(=O)(=O)c1ccc(NN=C2C(=O)Nc3ccc(cc23)C(=O)O)cc1	NC(=N)NS(=O)(=O)c1ccc(Nc2ccc3c(N)nc(N)c3cc2c1)C(=O)O
CC(=C)C(=O)NCCCCC(CO)NC(=O)N[C@H](C(=O)O)Cc1ccncc1	OC(=O)[C@H](CCCCNC(=O)c1ccc(I)cc1)NC(=O)N[C@@H](Cc1ccncc1)C(=O)O	OC(=O)[C@H](CCCCNC(=O)c1ccc(I)cc1)NC(=O)N[C@@H](CC(=O)O)C(=O)O
CCNCC(=C)/C=C/C=C/C=N\C(=C)C/C=C(\C/C=C\C)/C	O=C1NCCc2[nH]c(cc12)c1ccnc(c1)c1cnc2ccccc2c1	NC(=O)c1cccc(c1)c1ccccccccccccccccccccccccccccc
C(=C\C=C/C=C/NC(=O)/C=C/C=C/C=C\C(=C)OC)/C=O	COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC	COc1ccccc1ccccccccccccccccccccccccccccccccc
C(=C\C(=C\CN(C(=O)C1CCCCC1)C)\SCC(=O)O)/C=C	CC(C)N(C(=O)C1CCC(C)CC1)c1cc(sc1C(=O)O)c1ccccc1	CC(C)(CCCCC(CCCCCCCCCCCCCCCCCCCcCcCcccccccccc
CC(C)CC(CC(=O)NO)CNCCCC(=C)/C(=C\C=C)/NCCCCCCNC=O	CC(C)C[C@H](CC(=O)NO)C(=O)N[C@H]1Cc2cn(CCCCCCNC1=O)c1ccccc21	CC(C)(C)C(C(CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCccccccccccc)c))
Cc1c(sc(C)n1)/C=N/C(=N)NC(=C)/C=C\CNC	CN(C)c1ccc(Nc2nccc(n2)c2sc(C)nc2C)cc1Cl	CN(C)c1ccc(Nc2nccc(n2)c2sc(C)nc2C)cc1
[nH]1c(c(/C=C\C/C=C/CN2CCOCC2)cn1)N	Nc1[nH]nc2cc(ccc12)c1cc(nc(N)n1)N1CCOCC1	NC(=O)c1ccccccccccccccccccccccccccccccc1c
O=S(C/C=C\COC)N(CC(=O)NO)CC(C)C	COc1ccc(cc1)S(=O)(=O)N(CC(C)C)CC(=O)NO	CCOC(=O)C(NC(=O)CCc1nc2ccccc2c(=O)[nH]1
CN(CC)CCCNc1nc2c(c(n1)NCCCN(Cc1ccccc1)C)cccc2	COc1cc2nc(nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC)N1CCCN(C)CC1	Cc1cccc(cn1)C(=O)NCCC(CC1(C)CCCCCC(=O)Nc1cnc2ccccc2c1
N(C)CCN(C(=C)/C=C/CCc1cc(C)cc(N)n1)C	CNCCN(C)c1cncc(CCc2cc(C)cc(N)n2)c1	CN1CCN(CC1)c1ccccccccccccccccccccccccccccccc
C(=C)(S(=O)(=O)N(C)CC=O)/C=C\C(=C)OC	COc1ccc(cc1)S(=O)(=O)N(CC(C)C)CC(=O)NO	COc1ccc(cc1)S(=O)(=O)NCC(=O)c1OC
CO/C(=C/C(=C(\C)/S(=O)N1[C@H](C)CC(=C)/C/1=C\C)/O)/CNC(=O)C	COc1cc(OC)c(cc1NC(=O)C)S(=O)(=O)N1[C@H](C)Cc2ccccc12	COC(=O)c1cccc(c1)c1c(CC(O)((CC(C)(C)CC)CCO)C)c()cc)c)cO)OO)OO
C(=O)(N)c1c(c(ccc1)C=O)O/C=C\C(=C\C=C\OCCN(CCO)C)\C	NC(=O)c1cccc2C(=O)/C(=C/c3ccc(OCCN4CCOCC4)cc3)/Oc12	CN(C)CC(O)C(=O)c1ccc2c(c1)(c(cccc)c)cccccccccccccc)))c))
CNCCN/C(=C/N=C\CCCC/N=C\C=C/C)/C	CNCCN(C)c1cncc(CCc2cc(C)cc(N)n2)c1	CN(C)CCCC(=O)c1cccccccccccccccccccccc
C(=C\C(=C)F)\C(=C)OCCSCN(C)CCNC(=O)C(=C)/C(=C\C=C)/C(F)(F)F	CC(NC(=O)c1ccccc1C(F)(F)F)c1nnc(SCCOc2ccc(F)cc2)n1C	CC(NC(=O)c1ccc(F)cc1)C(=O)NCc1c(F)ccc(c1)c1ccccccccccccccc)c)
C(C(=O)O)CCC#C/C(=C(\O)/COC)/C=C/Cc1c(nc(N)nc1)N	COc1cc(Cc2cnc(N)nc2N)cc(C#CCCCC(=O)O)c1OC	COc1cc(Nc2ncc3ccc(cc3c(OC)cc2OC)c(OC)c(cn1)C#N
c1c(CC(C(=O)O)NC(=O)CN/C(=C(/C)\C=C\C(=C/C=C)\Br)/C)cccc1	OC(=O)[C@H](Cc1ccccc1)NC(=O)Cn1c2C[C@@H](CCc2c2cc(Br)ccc12)C(=O)O	OC(=O)C(=O)N(Cc1c(Br)c(Br)c(Br)c(c1c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O
C(NCC)CCCCNCc1c(C)ccc(C(=O)NCC(C(=O)O)NS(=O)(=O)CC)c1	CCCCCS(=O)(=O)N[C@@H](CNC(=O)c1ccc2CN(CCC3CCNCC3)C(=O)c2c1)C(=O)O	CC(C)CCCC(CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCcc)cCcccccccccc)c)
C/C=C\C=C(/C)\COC(=O)N1[C@H](C/C(=C/C)/C1)CO	OC(=O)[C@H]1Cc2ccccc2N1C(=O)OCc1ccccc1	OC(=O)[C@H]1Cc2ccccc2cc1cccccccccccccccccccc
CN(C=N)C(c1ccccc1)CC(O)CCCC	OC(CC1c2ccccc2-c2cncn12)C1CCCCC1	NC(=O)c1ccc(CCCCCCCCcCccccccccccccccccc
CCNCCCC1=NC/C(=C\C)/N=C1OC1CN(C1)c1nc2ccccc2cc1	CC(=O)N1CCC(CC1)c1nc2ccccc2nc1OC1CN(C1)c1ccc2ccccc2n1	O=C(Nc1cccccc1cC1c1cc1cCNCCCCCCCccccccccccccccccccccccccc
C(=C)/C=C(/c1cc([nH]c1)/N=C\N=C\NCCCN)\C=C\C	NCC1CN(CCO1)c1ncnc2[nH]cc(c3cccc(CO)c3)c12	NC(=O)c1ccc(Nc2ncccccccccccccccccccccccccccc
CCNCc1cc(ccc1O)NC1=CC=N/C(=C/C(=C\C)/Cl)/C1	CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O	CC(COccCccccccccccccccccccccccccccccccccccccc
C(/C=C/CN(CC)C)O/C(=C/C=C/C/C=C/C=C\C=C)/C	CN(C/C=C/COc1ccc(cc1)C(=O)c1ccc(Br)cc1)C1CC1	CC(C)c1ccccccccccccccccccccccccccccccccccc
O=C1CC[C@@H](C)C(=C1)CCCCCC[C@@H](C)CCCCC	CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O
C(=C)(OCCC)/C=C(\C)/C=C\c1c(NCC2=N/C(=C(\N)/N=C\N)/CN=C2)cccc1	Nc1nc(N)c2nc(CN3c4ccccc4C=Cc4cc(OCCCC(=O)O)ccc34)cnc2n1	COc1cc2nc(c3nccc(Nc3cnc(c3)C(N)(C)C)cc2c(=O)n(C)c2ccccc2c1
c1cccc(c1Cl)c1noc(C(C)C)c1COc1ccc(cc1)c1cc(c(CC=O)cc1)C=C	CC(C)c1onc(c1COc1ccc(cc1)c1ccc2c(cccc2c1)C(=O)O)c1c(Cl)cccc1Cl	CC(C)c1c(c(C)cc(c1)c1cccccccccccccccccccccccccccccccccccccccccccccc
C(=C\C/C=C/C(=C\C)/N)(/C=C\C(=C)O)\O	Nc1ccc(N)c2C(=O)c3c(O)ccc(O)c3C(=O)c12	Oc1ccc(cc1cccccccccccccccccccOcc
c1cc(ccc1Cl)C/C=C\C(=C)CNC(c1ccccc1)CN/C=N\C=C	Clc1ccc(cc1)c1ccc(cc1)C(=O)NC(Cn1ccnc1)c1ccccc1	NC(=O)c1cccc(c1)c1cccccccccccccccccccccccccccccccccccccccc
CCOC(=O)C1O[C@@H]1C(=O)NC(C(=O)NC(C)C)[C@@H](C)CC	CCOC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)O	CCCCC[C@H](NC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O)C(=O)O
[C@@H](N)(C)CN(CC)c1n(CC(=C)/C=C\C=C)c(=O)c(Br)cn1	N[C@@H]1CCCN(C1)c1ncc(Br)c(=O)n1Cc1ccccc1C#N	N[C@@H](Cn1cc(nc1)c1ccc(cc1)C(=O)NC)C(=O)c1cccccc
c1(ccccc1)c1c(CN)n(c(=O)c2ccc(cc12)OCC(=O)N)C	CC(C)Cn1c(CN)c(c2ccccc2)c2cc(OCC(=O)N)ccc2c1=O	NC(=O)c1ccc(cc1)c1cccccccccccccccccccccccccccccccccccc
C=C/C=C\CC(CC)OC/C(=C/O)/Sc1ccccc1	OC1=C(Sc2ccccc2Cl)C(=O)OC2(CCc3ccccc23)C1	OC(=O)COc1cc(cccccccccccccccccccccccc
C(NC(=O)[C@](CC)(C)N/C=C/C=N\CC(=C)c1cccnc1)C(F)(F)F	CC[C@@](C)(Nc1ccnc(n1)c1c[nH]c2ncccc12)C(=O)NCC(F)(F)F	CC(NC(=O)c1cc(ccn1)c1ccc(cn1)C(F)(F)F)[N+](=O)[O-]
N=C/C(=C\N)/C=C/N/C(=C\N)/CC(=C)C(=C)NC	c1n[nH]cc1c1cn2c(cnc2cn1)c1c[nH]c2ccccc12	NC(=N)c1cccnc1c1cc2nc(N)nc(N)c2cc1C
C(=O)(OCC)/C(=C(/N)\c1ccccc1)/SCNC(=C)C	CCOC(=O)c1sc(Nc2ccc(C)c(Cl)c2)nc1c1ccccc1	CC(C)(C)c1cccccccccccccccccccccccccccccc))
c1c(cc(c(c1)N)/C=C/C/C=C(/C=C/C=C\C=C)\C=C/C)C(=N)N	NC(=[NH2+])c1cc2cc([nH]c2cc1Cl)c1cccc(c2ccccc2)c1O	NC(=[NH2+])c1cc2cc([nH]c2cc1Cl)c1cccc(c2ccccc2)c1=O
CC(C)CCNC(C)CN(/C=C/N=C/NC(=C)/C=C\C(=C)O)C	CC(C)CCN1C(C)C(=O)N(C)c2cnc(Nc3cc(F)c(O)c(F)c3)nc12	CC(C)CC(CCCCCCCCCCCCcCcCccccccccccccccccccccccccc
O(c1cc(ccc1)C)C/C=C\CCCC(=C)/C(=N\N=C)/NN	Cc1cc(Oc2ccc(Cc3n[nH]c4nnccc34)cc2Br)cc(c1)C#N	CCc1nc(N)nc(N)c1c1ccc2c(c1)n(CcCcccccccccccccccc
c1c(cc(c2cc(F)c(c(c2)F)NC/C=C(/CCC)\C)cc1)OC(F)(F)F	OC(=O)C1=C(CCC1)C(=O)Nc1c(F)cc(cc1F)c1cccc(OC(F)(F)F)c1	OC(=O)C1c(F)cccc1C(=O)c1ccc(c(c1cccccccccccccccccccc)c1c
S(=O)(N(CC)C)/C=C/C=C(/Cl)\C(=C)C(=O)Nc1cc2c(s1)CCC2	CCN(CC)S(=O)(=O)c1ccc(Cl)c(c1)C(=O)Nc1sc2CCCc2c1C#N	NC(=O)c1ccc(NC(2)CN(CCccc)()c(c)c(cccccccccccccccccccccc
c1cc(ccc1N(c1ccccc1)S(=O)/C(=C(\O)/C=C(/OC)\CNC(=O)CCC(=O)O)/C)N	COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)N(c1ccccc1)c1ccc(N)cc1	COC(=O)c1ccccc1COc1ccc(ccc(cc(ccc(ccccccccccccccccccccccccccccccc))O)O
