c1c(cccc1)O/C(=C/C=C/OC)/C	N#CSCCOc1ccc(Oc2ccccc2)cc1	COc1ccc2ccccc2c1c1ccc(cc1)C(=O)c
N1(C(=O)CC=C)CCSC1c1cc(C)ccc1	Cc1cccc(c1)C12SCCN1C(=O)c1ccccc21	Cc1cccc(c1)[C@]32SCCc3ccc(2)c(CCcccccc
c1c(c(ccc1)NC(=O)CN(C(C)C)CC1C[C@@H](CNC1)C(=O)NCC)Cl	CC(C)CCNC(=O)[C@@H]1CNC[C@H](CN2CC(=O)N(CC2(C)C)c2ccccc2Cl)C1	CCNC(=O)[C@@H]1C[C@H](CN1C(=O)C)C@CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
C1CCNC[C@H]1NC(=O)c1sc(cc1)C/C=C(\C=C)/F	NC(=O)Nc1cc(sc1C(=O)N[C@H]1CCCNC1)c1cccc(F)c1	Fc1ccc(cc1)C(c1cc(CCCCCCCCCCCccccccccccccccccccccc
CS/C(=C(\C)/CNC(=C)/C(=C\CC(=C)/C=C(/OC(F)(F)F)\C)/F)/C(=O)O	OC(=O)c1sccc1C(=O)Nc1c(F)cc(cc1F)c1cccc(OC(F)(F)F)c1	OC(=O)c1sccc1C(=O)Nc1c(F)cc(cc1F)c1cccc(OC(F)(F)F)c1
c1(noc(C(C)C)c1CO/C(=C/C)/C=C/1\CC=C(S1)c1ccccc1)c1ccccc1	CC(C)c1onc(c1COc1ccc2cc(sc2c1)c1cccc(c1)C(=O)O)c1c(Cl)cccc1Cl	CC(C)c1onc(c1COc1ccc2cc(sc2c1)c1cccc(c1)C(=O)O)c1c(Cl)cccc1Cl
C1(=NNC(=C)/C=C\C=C\C)C(=N)N=NC1=N	OC(=O)c1cccc(NN=C2C(=N)N=NC2=N)c1	OC(=O)c1cccc(NN=C2C(=N)N=NC2=N)c1
O=C(C1CC1)N1CC[C@H](C1)Cc1n[nH]c(=O)n1/C=C/C=C/C/C=C/C=C\OC	O=C(C1CC1)N1CC[C@@H](Cc2n[nH]c(=O)n2c2ccc(cc2)c2ccc3occc3c2)C1	COc1ccc(cc1)n1c(CCN2C(=O)[C@H](CccccCCCCCCCCCCCCCCC)C)==O))cccc)OO
C(=O)(C(=C)/C=N\C(=C)NCC1(CCCCC1)CCNC(=O)C/C=C\C)N	Cc1cccc(c1)C(=O)NCCC1(CNc2ccc(cn2)C(=O)N)CCCCC1	Nc1cccc(c1)C(=O)NCCC1(CCCCCCCCCCCCCCCC)CC)Cccccccccccccccccc
C(=C\C)\CCO/C(=C/C)/C=C\CNC(=O)CN	NCC(=O)Nc1ccc(OCc2ccccc2)cc1	NC(=O)C1CCcccccccccccccccccccccccccc
C(CC)N(S(=O)/C(=C/C=C(\C)/NCNCc1cnccc1)/C)C	O=S(=O)(N1CCCCC1)c1ccc(NC(=S)NCc2cccnc2)cc1	O=S(=O)(N1CCCCC1)c1ccc(NC(=S)NCc2cccnc2)cc1
C(=C(\C=C/CC)/C(=C/C(=C\CC(C#C/C=C/N=C)C)/OC)/C)\C	COc1cc(cc(c1)c1ccc(C)cc1)C(C)C#Cc1c(C)nc(N)nc1N	Cc1cc(ccc1F)C(CC(ccccccccccc(CCCccccccccccccccccc
OC(CO)CCn1c(=O)[nH]c(=O)c(C#CCCC)c1	CCCC#Cc1cn([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(=O)[nH]c1=O	CCCC#C#Cc1c(CH2cnc(C[C@@H]3O)n(C[C@@H]3O)n(CH)c3c(=O)[nH]c2=O)c1
C(=C\Cc1ccccc1C)(/O)\C(=C)OC/C(=C\C(=C)Cl)/Cl	Cc1ccccc1c1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1	Oc1cc(Cccccccccccccccccccccccccccccccccccccc
N=C/C(=C\C=C/C=N/C=C/C(=C/C)/C)/C	NC(=O)c1cccc2ncc(nc12)c1ccc(Cl)cc1	c1[nH]nc(c1c1ccnc2ccccc12)c1ccccn1
c1ccccc1C(c1ccccc1)CN/C(=N/C=N)/C(=C/C=C)/C	C[C@H](Nc1ncnc2cc(F)c(F)cc12)C(c1ccccc1)c1ccccc1	O=C(Cn1c(nc2ccccc12)c1ccccn1)Nc1ccc2ccccc2c1
C(=C\C(=C/C)\COC/C=C\C/C=C\C=C\S(=O)N[C@H](CCC(=O)O)C=O)\CC	OC(=O)CC[C@@H](NS(=O)(=O)c1ccc2cc(OCc3ccc(cc3)C#N)ccc2c1)C(=O)O	OC(=O)CC[C@@H](NS(=O)(=O)c1ccc2ccc(Occc3c2)(cccccc)))OOOOO
C/C=C(/C(=C/C=C/C1=NCCC(=C1C#N)O)/C=C)\C(=C/C)\OCC	CCOc1ccccc1c1ccc(cc1)c1nc2ccncc2c(O)c1C#N	CCOc1ccccc1c1ccc(cc1)c1nc2ccncc2c(O)c1C#N
n1(cncc1)CCCOc1c(Nc2cc(N(CCC)C=N)nc(n2)C)cccc1	N#Cc1nc(Nc2ccccc2OCCCn2ccnc2)c2ncn(C3CCCC3)c2n1	Cc1ccccc1cccnccccccccccccccccccccccccccccccccc
C(COC)NC/C=C/C(=N\CNCCNC(=O)C=C)/N/C(=N/c1cccnc1)/S	C=CC(=O)N1CC[C@@H](C1)Nc1nc(CN2CCOCC2)cc(Nc2nc3cccnc3s2)n1	CC(C)(C)C(=O)Nc1cccnccccccccccccccccccccccccccccccc
c1cc2c(nc(nc2N)N)cc1n1c2c(cc(cc2)OC)nc1c1nccs1	COc1cc2nc(c3nccs3)n(c3ccc4c(N)nc(N)nc4c3)c2cc1OC	COc1cc2nc(c3nccs3)n(c3ccc4c(N)nc(N)nc4c3)c2cc1OC
CCCc1nc(c(n1/N=C(\N)/c1c(O)ccc(c1)S(=O)(=O)N(CCN)CC)C=O)C	CCCc1nc(C)c2n1nc([nH]c2=O)c1cc(ccc1OCC)S(=O)(=O)N1CCN(CC)CC1	CCc1Cc(nc((((ccccc(cc(c(c()c(c())c())()))O)CCCCCCCCCCCCCCCCCC
C(COC)N1CC(=CC1=O)/C(=C(\C(=N)C)/C)/c1c(Cl)cccc1	COCCN1Cc2c(nc(C)c(CN)c2c2ccc(Cl)cc2Cl)C1=O	COCCN1Cc2c(nc(C)c(c2cccccccccccccccccccccc
c1c(Nc2ccnc3cc(ccc23)Cl)ccc(c1C)O	CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O	OC(=O)c1ccc(Nc2ccccccccccccccccccccccc
C(=C\C)\C=C\c1c2c3n(c4c(c3cc1C(=O)N)cccc4)CCCC(O)N2	O=C1NC(=O)c2c1c1c3ccccc3n3C4CCC(O4)n4c5ccccc5c2c4c13	NC(=O)c1ccc2nc(cccccccccccccccccccccccccccccccccc)c
O=CCNc1c(ccc(c1)Cl)CC(C(=O)NCc1ccccc1)NC(C(=O)NO)CCC	CC(C)CC(NC(C(=O)NCc1ccccc1)c1c([nH]c2cc(Cl)ccc12)C(=O)NO)C(=O)NO	COCCN(Cc1ccCcc(NC(=CCCCCCCCCCCCCCCCcCCcCcCccCccccccccc)C))C)))))NC(=O
O=C(Nc1cc(n[nH]1)C1CC1)Cc1ccc(C(=C)S)cc1	O=C(Cc1ccc(cc1)c1cccs1)Nc1cc(n[nH]1)C1CC1	OC1=C(c11ccccccccccccccccccccccccccccccccccccc1
C(=C\Br)/SC(=C)C(=C)/C=C/C(=C\C(N)C)/C	CC1=CC(C)(C)Nc2ccc(cc12)c1cc(Br)cs1	CC1=ccc(cccccccccccccccccccccccccccc
c1ccc(cc1)C[C@@H](N)CC(=O)N(C)C/C=C/C=C\C=C\C	N[C@@H](CC(=O)N1Cc2ccccc2C[C@H]1C(=O)N)Cc1ccccc1F	N[C@H]1CN(CCc2ccc3ccccc3c2)C(=O)N1CCccccccccc
C(=N\CC1CN(C1)[C@@H](/C(=N/CN(N=C)CCCCC)/NC=O)C)\C=C	C[C@@H](N1CC(C1)c1ncccn1)c1nc2n(ncc2c(=O)[nH]1)C1CCCC1	CCCCCC[(@H](C)N)n1nc(Nc2cc(ccn2)C(ccccccccccccccccccccc
CC/C=C/C=C(/[C@H](C)CCNC(OCCO)[C@@H](C)O)\C	CCc1ccc(cc1)[C@H](C)CC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	OC[C@H]1O[C@@H](NC(=O)CCCc2ccc3CCCCc3c2)[C@H](O)[C@@H](O)[C@@H]1O
NN(c1ccccc1)/C(=C\C)/N(CCNC(CCC(=O)N(C)C)CN)C	Cc1cc(N2CCN(CC2)[C@@H]2CN[C@@H](C2)C(=O)N2CCSC2)n(n1)c1ccccc1	CC(C)CCNC(=O)[C@@H]1CNC[C@@H](C1)N1CC(=O)N(CC1(C)C)c1ccccc1Cl
C(=O)(C(=C)/C=C(\C)/NC(=O)/C=C/C)N	NC(=O)c1cccc(NC(=O)/C=C/C(=O)O)c1	Nc1c(ccc2cccccc(cccccccccccccccccc
[C@H]12CCCN(C2C[C@H]2N(C1)CCc1c2cccc1)S(=O)C	COc1ccc2[C@H]3C[C@H]4[C@@H](CCCN4S(=O)(=O)C)CN3CCc2c1	CS(=O)(=O)N1CC[C@H]1C[C@@H]([C@H](N(CC2CC2)S(=O)(=O)C)CC1)c1ccc(Cl)cc1
C(CCOC)Nc1cc(ccc1OC(C)(C=O)C)/C(=C\N)/C(=N\CN)/C	CCc1nc(N)nc(N)c1c1ccc2OC(C)(C)C(=O)N(CCCOC)c2c1	CC(C)(C)OC(=O)Nc1cccnc1C(=O)Nc1ncccn1
O=S(c1ccc2c(CN[C@@H](CF)C2)c1)N(CC)CC	FC[C@H]1Cc2ccc(cc2CN1)S(=O)(=O)N1CCSCC1	FCCNC(=O)[C@@H]1C[C@H](N(C1)S(=O)(=O)c1ccc(N)cc1)C(F)(F)F
CC1(C(=C)/C(=C\C=C\CC/C=C/C(=C/C(=O)O)/C)/C(C)(C)CC1)C	C/C(=C\C(=O)O)/C=C/[C@@H]1CCC[C@@H]1c1ccc2c(c1)C(C)(C)CCC2(C)C	C/C(=C\C(=O)O)/C=C/C1(CCC1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
C(C)C/C(=C/C=C/[C@@H](C(=O)O)C)/C	CC(C)Cc1ccc(cc1)[C@H](C)C(=O)O	CC(C)c1ccc(C)c(CC=CCC@@C(C)))))
CN(C)C(=O)/C(=C(\OC/C=C\C=C)/N(C)/C(=C/C=C\C)/C)/C=C/C=C	O=C(N1CCNCC1)c1c(Oc2ccccc2)n(c2ccccc2)c2ccccc12	O=C(N1CCNCC1)c1c(Oc2ccccc2)n(c2ccccc2)c2ccccc12
C(=C\1/C(=C(CNC1=C)CCC)S(=O)C(CC)CCC)\C	CCCc1c(S(=O)C2CCCCC2)c2cc(Cl)ccc2[nH]c1=O	CCCc1c(S(=O)C2CCCCC2)c2cc(Cl)ccc2[nH]c1=O
n1cc(S(=O)(=O)N2CCN([C@@H](C#CC)C2)C/C=C\C[S@](=N)(=O)C(F)(F)F)ccc1N	CC#C[C@H]1CN(CCN1c1ccc(cc1)[S@](=N)(=O)C(F)(F)F)S(=O)(=O)c1ccc(N)nc1	CC#C[C@H]1CN(CCN1c1ccc(cc1)[S@](=N)(=O)C(F)(F)F)S(=O)(=O)c1ccc(N)nc1
C(=N)NC([C@H]([C@@H](OCCO)C[C@@H](C)O)NC(=O)C)C	CO[C@H]([C@H](O)CO)[C@@H]1OC(=C[C@H](NC(=N)N)[C@H]1NC(=O)C)C(=O)O	CC(=n)N[C@@H]1[C@H](CO)[C@H](O)[C@H](O)[C@H]]@@[@@H]H]HHHH)))))))CC
C1(=NNC/C(=C/C)/C1)CCNc1cc2c(C)c(oc2cc1)CCC	Cn1nc(CC(=O)Nc2ccc3oc4CCCCc4c3c2)c2ccccc2c1=O	CCCc1cc(=O)n2nc(NCc3ccc(Cl)cc3)cccccccccccccccccccccc
N/C=C(\CN)/C/C=C/S/C(=C/C)/CCO	Cc1c(Cc2cnc(C)nc2N)csc1CCO	Nc1ncc2cc(c(N)nc2n1)c1c(Br)cccc1Br
CC/C(=C(\C)/CNc1ccc(c2cc(ccc2)OC(F)(F)F)cc1)/C(=O)O	OC(=O)C1=C(CCC1)C(=O)Nc1ccc(cc1F)c1cccc(OC(F)(F)F)c1	OC(=O)c1ccc(cc1cccccccccccc(cccccccccccccccccFFcFF)FFFFFF
N#CC(=N)/N=C(/NCC(=C)OCCCN1CCN(C)CC1)\c1cn(cn1)C1CCCC1	CN1CCN(CCCOc2ccccc2Nc2nc(nc3n(cnc23)C2CCCC2)C#N)CC1	N#Cc1cnc(Nc2ccccc2CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
C1N(CC[C@@H]1S)S(=O)(=O)C/C=C\COCC#CC	CC#CCOc1ccc(cc1)S(=O)(=O)N1CC[C@H](S)C1	CC#CCOc1ccc(cc1)S(=O)(=O)N1CC[C@H](S)C1
c1c(C)ccc(c1)OCCN(C(=N)SCCOc1ccccc1)/C(=C/C)/C	Cc1ccc(OCCn2c(SCCOc3ccccc3)nc3ccccc23)cc1	Cc1ccc(OCCn2c(SCCOc3ccccc3)nc3ccccc23)cc1
C(=N\O)(/c1cc(ccc1)CNC(=O)N/C=C/C=C(/Br)\C=C)\C	C/C(=N\O)/c1cccc(c1)C(C)(C)NC(=O)Nc1ccc(Br)cc1	C/C(=N\O)/c1cccc(c1)C(C)(C)NC(=O)Nc1ccc(Br)cc1
N(C(CCCC)C=O)C(=O)CNCOCc1ccc(Br)cc1	CCCCC(NC(=O)C(CC(C)C)NC(=O)OCc1ccc(Br)cc1)C=O	OC(=O)CCccCCCCCCCcCccccCcCcCcCCCCCCC)C)C)C)C)Cccccc
C1(/C=N/NCNC(=O)CC/C=C\COC(F)F)CC1	FC(F)(F)Oc1ccc(CC(=O)Nc2cc(n[nH]2)C2CC2)cc1	FC(F)(F)Oc1ccc(CC(=O)Nc2cc(n[nH]2)C2CC2)cc1
C(=c\1/cccc(c1=C)N(C)C)(\C)/S(=O)(=O)NCCCCCCCCCCC=O	CN(C)c1cccc2c(cccc12)S(=O)(=O)NCCCCCCCCCCC(=O)O	COc1ccc(cCCCCCccccccc(c((())O(C(CCCCCCCCCCCCCCCCCCC)Ccccc
CCN(CC)C(=O)/C(=C\NCCSC=C)/C1=CCCCC1	CCN(CC)C(=O)c1c(NC(=O)c2cccs2)sc2CCCCc12	OCCNC(=O)c1ccc2Cc3c(nccc3c2Cc1cccccCCCCCCC
O=N(O)C(=C)/C=C\C=C\N(N)/C(=C/C(=O)OC)/C	CCOC(=O)c1c(C)nn(c1C)c1cccc(c1)[N+](=O)[O-]	CCOC(=O)c1c(C)nn(c1C)c1cccc(c1)[N+](=O)[O-]
c1ccc(cc1)CNCCCCC(C)CC(=C)/C=C(/OC)\COC	COc1cc2CC(CC3CCN(Cc4ccccc4)CC3)C(=O)c2cc1OC	COc1cc2C[C@@H](CC3CCN(cc4cccccccccccccccccccccccc
O=CCCCCNCCN(C)/C=N\CN(C)C=O	CC(=O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O	Cn1c2nc(N)c(CN)c(c3ccccc3Br)c2c(=O)n(C)c1=O
c1(n(c2ncncc2n1)C1CC[C@H](O1)CN(C)CCON)C	CN(CCON)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1c(C)nc2c(N)ncnc12	CN(C)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1c(C)nc2c(N)ncnc12
C=N/C(=C\n1cncc1c1c(=C)c(=C)[nH]c1)/c1cn[nH]c1	c1n[nH]cc1c1cn2c(cnc2cn1)c1c[nH]c2ccccc12	Cc1cc2ncccccnccccccccccccccccccccccc
C1COCCN1Cc1ccc(N)c(c1)NC(=N)c1cc(cnc1)OCCCC	CCCCOc1cncc(c1)c1nnc2c(C)nc3ccc(CN4CCOCC4)cc3n12	COc1ccc(cc1ccccccccccccccccccccCCCCCCCCCCCC
C1(=CN(C(=O)NC1)CO)C/C(=C/C=C\C)/C	OCCOCn1cc(Cc2ccccc2)c(=O)[nH]c1=O	OC[C@H]1O[C@H](c2c(Cc)cccccccccccccccccccc
C/C=C\C=C(/CCl)\C=C\C=C\CNN	NNC(=O)c1ccc(o1)c1ccccc1Cl	Clc1c(ccc2cccccccccccccccccccccc
CC(C)/C=C/C(=C\C(=C)C(C)(C)C)/C1(CC1)C/C=C/C=C/CO	C/C(=C\C(=O)O)/C=C/CC1(CC1)c1cc(cc(c1)C(C)(C)C)C(C)(C)C	C/C(=C\C(=O)O)/C=C/CC1(CC1)c1cc(cc(c1)C(C)(C)C)C(C)(C)C
C(=C\n1ncc(c1)C(=O)Nc1n(c2ccc(cc2)C2CC2)nc(c1)C(CCN)CC)\C=N	CC(C)N1CCC(CC1)c1cc(NC(=O)c2cnn3cccnc23)n(n1)c1ccc(cc1F)C1CC1	CC1CCCc1C(CcccccccccccccccccccccccccccccccccccccccCCCccc1c11
C=C/C=C\CC12SCCN1C(=O)/C=C/C=C\C=C\2	Cc1cccc(c1)C12SCCN1C(=O)c1ccccc21	Cc1cccc2c1)[C@H](CSC[C@H](N)c1Ccccccccccccccc
c1(=C)/c(=C\CS(=O)(=O)O)/cc(cc1S(=O)O)S(=O)(=O)O	[O-]S(=O)(=O)c1ccc2c(cc(cc2c1)S(=O)(=O)[O-])S(=O)(=O)[O-]	[O-]S(=O)(=O)c1ccc2c(cc(cc2c1)S(=O)(=O)[O-])S(=O)(=O)[O-]
ClC/C=C/C(C)(CC(C)C)Oc1cc(c(cc1)Cl)O	CC1(C)CC(C)(Oc2cc(O)c(Cl)cc12)c1cc(Cl)c(O)cc1O	CC(C)(C)Oc1ccC(Cl)ccc1CcccccccccCCCCCCCCCCCC
Ic1c(c(I)cc(C[C@H](N)C(=O)O)c1)O/C=C/C=C	N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O	N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
C(c1ccccc1)N1C(=C(CNC1=O)N(C)S(=O)(=O)C/C=C\C(=C)F)N	CN(c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O)S(=O)(=O)c1ccc(F)cc1	CN(c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O)S(=O)(=O)c1ccc(F)cc1
C(=O)(O)/C(=C/C)/C(=C)NC1=CN/C(=N/C)/C/1=C\C	Cn1cc(Nc2cnccc2C(=O)O)c2cccnc12	OC(=O)c1cccccccccccccccccccccccccccccccc
CC(=C)/C=C\CCNC(=N)NC(=O)Cc1ccc(O)cc1	COc1ccc(CC(=O)NC(=N)NCc2ccc(C)cc2)cc1OC	COc1ccccc1CNc1ccc(cn1)C(=O)N
O=S(=O)(/C=C/C=C)N[C@@H](CNC(=O)c1cc(cs1)/C=C(\S)/CCC(CC)CCN)C(=O)O	OC(=O)[C@H](CNC(=O)c1cc2cc(CCC3CCNCC3)sc2s1)NS(=O)(=O)c1cccnc1	OC(=O)CC[C@@H](NS(=O)(=O)c1CC2CCCCCCCCCCCCCCCC(C((=O))))cc)ccccccccccc
C=C/C=C/C1CC1C/C=C\1/C(C)(C)CCC(/C1=C/C)(C)C	C/C(=C/C(=O)O)/C=C/C1CC1(C)c1ccc2c(c1)C(C)(C)CCC2(C)C	C/C(=C\C(=O)O)/C=C/C1(CC1)c1ccc2c(c1)C(C)(C)CCC2(C)C
C(C=C)NC(=O)CCC[C@@H](C)CC	C[C@@H](N)[C@H]1CC[C@@H](CC1)C(=O)Nc1ccncc1	CC(C)C[C@H](CC(=O)CC(=O))CCCCCCCCCCC1
C(=N\CNC[C@H](O)[C@H](O)CCO)\CF	Nc1nc(=O)n(cc1F)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	Nc1nc(=O)n(cc1F)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
c1c(Cl)ccc(c1)C(=O)NC(=O)NCCC[C@H](O)CC	OC[C@H]1O[C@@H](NC(=O)NC(=O)c2ccc(Cl)cc2)[C@H](O)[C@@H](O)[C@@H]1O	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1cc(O)c(Cl)cc1O
C1C(CCCC1OC)NC(=O)CN(CC)CCNCc1ccccc1	COC1CCC(OC)C(C1)NC(=O)CN1CCN(Cc2ccc3OCOc3c2)CC1	Brc1ccc2[nH]c(cc2c1)C(=O)NCCNC(=O)OCCCCCCCC1CNCc
C/C(=C\C)/C(SC[C@@H](C(=O)O)N)(c1ccccc1)c1ccccc1	N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O	N[C@@H](CSC(c1ccccc1)(c1ccccc1)c1ccc(Cl)cc1)C(=O)O
O/C=C/C(=C\C)/C/C(=C/N)/C(=N)C/C=C\C(=C/C)\C(=N)NN	COc1cc2Cc3c(-c2cc1OC)[nH]nc3c1ccc(cc1)c1nnn[nH]1	COc1cc(ccc1O)c1cnc(N)c(c1ccccccccccccccccccccc
OC(=O)CC1=NN(C/C(=C/C)/C1)CCSc1c(cc(C(F)F)cc1)N	OC(=O)Cc1nn(Cc2nc3cc(ccc3s2)C(F)(F)F)c(=O)c2ccccc12	OC(=O)Cc1nn(Cc2nc3cc(ccc3s2)C(F)(F)F)c(=O)c2ccccc12
OC[C@@H]([C@@H](CO)OCN(C)/C=C/F)O	Nc1nc(=O)n(cc1F)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	OC[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)c1nc((O)O)c(1O)
c1cccc(c1/C=C/C(=O)c1c(cc(c(c1O)CCCNC)O)O)Cl	CN1CC[C@@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)c1ccccc1Cl	CN1CC[C@@H]([C@H](O)C1)c1c(O)cc(O)c2c1oc(cc2=O)c1ccccc1Cl
N1C[C@H]([C@@H](C1)Nc1nc(ncccc(cc1)O)c1c(ccc(c1)F)O)C(C)C	COc1cc2nc(nc(N[C@@H]3CNC[C@H]3C(C)(C)O)c2cc1OC)c1cc(F)ccc1O	CC(C)[C@@H](CO)Nc1ccc2cccccccccccccccccccccccccccFcccFccc
N(C)(c1ccccc1)C/C=C\1/C(=NC(=N/C1=N/C)N)N	CC(C)c1ccc(cc1)N(C)c1cnc2nc(N)nc(N)c2c1	CN(C)C/C=C/c1cccccccccccccccccccccccccccccccc
OC(CC)CC/C(=C/C=C/C/C=C\C=C)/C	OC(CCc1ccc(cc1)c1ccccc1)CC(=O)O	OC(=O)c1cc(cc(Cccccccccccccccc
C/C=C(/C#Cc1ccc(C=O)cc1)\C=C\NCCCC	CC1(C)CCNc2cc(ccc12)C#Cc1ccc(cc1)C(=O)O	CC[C@@H]1N(C(=O)C2CCccccccccccccccccccc
C(=C)CCO/C(=C/C=C/NC(=O)CN)/C=C	NCC(=O)Nc1ccc(OCc2ccccc2)cc1	NC(=O)c1cccc(Cn2c3nc(ccc3cccccccccccc
F/C=c\1/c(=C(/F)\C=C\F)/sc(n1)CNC/C=C/C=C(/F)\C=C\OCCO	OC(=O)COc1cc(F)ccc1C(=O)NCc1nc2c(F)c(F)cc(F)c2s1	OC(=O)COc1cc(F)ccc1C(=O)NCc1nc2c(F)c(F)cc(F)c2s1
c1c(c2cc3cccnc3c(n2)C/C=C/N(=O)O)ccc(c1)CO	OC(=O)c1ccc(cc1)c1cc2cccnc2c(n1)c1cccc(c1)[N+](=O)[O-]	OC(=O)c1ccc(cc1)c1ccccccccccccccccccccc))[)[())O[O[OOO)O
CC(C)(C)CNC(=O)C(C(C)C)CC(O)C(CN1CC(=O)N(CC1)c1ccccc1OCCCO)N	COCCCOc1ccccc1N1CCN(CC(N)C(O)CC(C(C)C)C(=O)NCC(C)(C)C(=O)N)CC1=O	CC(C)(C)OC(=O)NCCCNC(=O)C(CC1CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCcccCcCCcCCC
FC(F)C/C=C\C(=C/C)\NCNC1CCN(CC1)CC(C)C	CC(C)C(=O)N1CCC(CC1)NC(=O)Nc1ccc(cc1)C(F)(F)F	CC(C)C(=O)N1CCC(CC1)NC(=O)Nc1ccc(cc1)C(F)(F)F
CCN(C(=O)C1NC[C@H](C1)NCCNc1cc(C(F)F)nc2c1cccc2)CS	FC(F)(F)c1cc(N2CCN(CC2)[C@@H]2CN[C@@H](C2)C(=O)N2CCSC2)c2ccccc2n1	FC(F)(F)c1cc(N2CCN(CC2)[C@@H]2CN[C@@H](C2)C(=O)N2CCSC2)c2ccccc2n1
C1(=O)CC(CN1C1CCCCC1)CN/C=C/C=C\CCl	Cc1c(Cl)cccc1NC(=O)C1CN(C2CCCCC2)C(=O)C1	Cc1ccc(l)cc1NC(=O)C1CN(C2CCCCC2)C(=O)C1
C(=O)(N)/C(=C(\O)/CCCCCCOP(=O)O)/N	NC(=O)c1[nH]nc([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1O	NC(=O)C(=O)CCC[C@@H](CP(=O)(O)O)C(=O)O
C(=C(\C(=C\C=C(/C)\C(=O)NC(CCNCC(F)(F)F)C)\N)/C)/CF	Fc1cccc(c1)c1ccc(cn1)C(=O)NC1CCN(CC(F)(F)F)CC1	FC(F)(F)c1ccc(Cl)c(NC(=O)c2cc3cC(CCCCCCCCCFFF)FFFFFFFFFFFFFFFFFFFFF
C(=C\C)(/NC)\C=C/COC/C=C\CNC(=O)CN	NCC(=O)Nc1ccc(Oc2ccc3[nH]cc(C#N)c3c2)cc1	CN(C)c1ccccc1Ccccccccccccccccccccccccc
C(=C(\O)/C=C\CC(=N)CCCCOC)/C	COC(=O)CC1CC(=NO1)c1ccc(O)cc1	COC(=O)C[C@H]1C[C@@H](c1ccc(ccccccccccc
CC(CCNC(=O)CCNCCCN1CCN(CC1(C)C)c1c(Cl)cccc1)C	CC(C)CCNC(=O)[C@@H]1CNC[C@H](CN2CC(=O)N(CC2(C)C)c2ccccc2Cl)C1	CC(C)CCNC(=O)[C@@H]1CNC[C@H](CN2CC(=O)N(CC2(C)C)c2ccccc2Cl)C1
C=C/C(=C(\NC=O)/C=C(\C)/NC[C@@H](C)CCC)/C	CC[C@@H]1[C@H](C)CNc2cc3[nH]c(=O)cc(c3cc12)C(F)(F)F	CC[C@@H]1[C@H](C)CNc2cc3[nH]c(=O)cc(c3cc12)C(F)(F)F
OC(=O)COc1c(C=O)sc(c1)/C=C/C=C\C	OC(=O)COc1c(Br)c(sc1C(=O)O)c1ccccc1	OC(=O)COc1c(Br)c(sc1C(=O)O)c1ccccc1
N#Cc1c[nH]cc(c(=O)[nH]nc1)CC	CC(C)c1c(C)[nH]c2c(cnn2c1=O)C#N	CCc1cc(=O)n2nc(NCc3ccc(Cl)cc3)c(C#N)c2[nH]1
c1c(C(=O)NC(=C)C(=C)Cl)sc(n1)Nc1nc(nc(c1)NCCN(C)CC)C	Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1	Cc1nc(Nc2ncc(s2)C(=O)Nc2c(C)cccc2Cl)cc(n1)N1CCN(CCO)CC1
C(=O)(N(CC(C)C)CC)C(=N)/C=C\C=C\C=C\C=C\C	Cc1ccc(cc1F)c1cccc(n1)C(=O)N1CCCC(C)(C)C1	OC(CC1c2ccccc2-c2ccccc12)CN1CCCC1
CCCCCOc1ccc(cc1)C(=O)NCC(C(=O)O)NS(=O)c1ccccc1	OC(=O)[C@H](CNC(=O)c1ccc(OCCC2CCNCC2)cc1)NS(=O)(=O)c1ccccc1	OC(=O)[C@H](CNC(=O)c1ccc(OCCC2CCNCC2)cc1)NS(=O)(=O)c1ccccc1
